,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y,07-10 totavg,10-17 totavg,17-22 totavg,commute,Total,com,coms,many75,trans
130,30130,동대문역사문화공원(DDP),5072,28892,11663,13222,24351,10353,37.565138,127.007896,16982.0,12442.5,17352.0,34334.0,46776.5,0.7340010475345526,0,0,1
131,30131,동대입구,6303,33047,12107,15720,25086,9331,37.559052,127.005602,19675.0,13913.5,17208.5,36883.5,50797.0,0.7260960292930685,0,0,0
132,30132,동두천,4974,6182,3460,3382,2958,4016,37.927878,127.05479,5578.0,3421.0,3487.0,9065.0,12486.0,0.7260131347108761,0,0,1
133,30133,동두천중앙,8303,6173,5604,4780,4110,5761,37.901885,127.056482,7238.0,5192.0,4935.5,12173.5,17365.5,0.7010163830583629,0,0,1
134,30134,동묘앞,8908,17379,19684,20665,15715,9907,37.572627,127.016429,13143.5,20174.5,12811.0,25954.5,46129.0,0.5626503934618136,0,0,1
135,30135,동암,47418,15527,22331,19138,17927,41458,37.471408,126.702896,31472.5,20734.5,29692.5,61165.0,81899.5,0.746829956226839,0,1,1
136,30136,동인천,31463,24263,23343,21006,24954,26642,37.475276,126.632802,27863.0,22174.5,25798.0,53661.0,75835.5,0.707597365350001,0,0,1
137,30137,동작(현충원),4873,3731,3627,3033,3423,3711,37.502971,126.979306,4302.0,3330.0,3567.0,7869.0,11199.0,0.7026520225020091,0,0,1
138,30138,두정,10135,9441,8128,8063,8967,11030,36.833705,127.14896,9788.0,8095.5,9998.5,19786.5,27882.0,0.709651387992253,0,0,1
139,30139,둔촌동,21769,13832,11838,11030,12595,18148,37.527788,127.136248,17800.5,11434.0,15371.5,33172.0,44606.0,0.743666771286374,0,0,1
140,30140,둔촌오륜,2642,2016,1653,905,1249,1713,37.51972,127.13897,2329.0,1279.0,1481.0,3810.0,5089.0,0.7486736097465121,0,0,0
141,30141,등촌,33329,11507,14597,12555,11023,25621,37.550632,126.865689,22418.0,13576.0,18322.0,40740.0,54316.0,0.7500552323440607,1,0,1
142,30142,디지털미디어시티,17997,28984,8658,8123,20356,13702,37.576646,126.900984,23490.5,8390.5,17029.0,40519.5,48910.0,0.8284502146800246,1,0,1
143,30143,뚝섬,21902,74287,21394,25601,54701,24590,37.547184,127.047367,48094.5,23497.5,39645.5,87740.0,111237.5,0.7887627823350938,1,1,1
144,30144,뚝섬유원지,22637,8938,10474,12216,14922,20929,37.53154,127.066704,15787.5,11345.0,17925.5,33713.0,45058.0,0.7482134138221848,0,0,1
145,30145,마곡,18112,20651,9835,8330,14890,12299,37.560183,126.825448,19381.5,9082.5,13594.5,32976.0,42058.5,0.7840507864046506,1,0,1
146,30146,마곡나루(서울식물원),14442,24033,8436,7431,19525,13537,37.567336,126.829497,19237.5,7933.5,16531.0,35768.5,43702.0,0.8184636858725001,1,0,1
147,30147,마두,14393,14840,13026,12016,11343,13290,37.652206,126.77762,14616.5,12521.0,12316.5,26933.0,39454.0,0.6826430780149034,0,0,1
148,30148,마들,46621,8861,16062,12901,8259,30307,37.66494,127.057675,27741.0,14481.5,19283.0,47024.0,61505.5,0.7645495118322752,1,0,0
149,30149,마석,11266,5997,5863,4977,4402,8309,37.652782,127.311767,8631.5,5420.0,6355.5,14987.0,20407.0,0.7344048610770814,0,0,1
150,30150,마장,15593,10430,8241,6996,8020,10828,37.5661,127.042973,13011.5,7618.5,9424.0,22435.5,30054.0,0.7465062886803753,0,0,1
151,30151,마천,19461,6887,7561,6974,5230,13007,37.49499,127.152781,13174.0,7267.5,9118.5,22292.5,29560.0,0.7541441136671178,1,0,1
152,30152,마포,24993,41966,16042,14943,29959,23406,37.539574,126.945932,33479.5,15492.5,26682.5,60162.0,75654.5,0.7952203768447349,1,0,1
153,30153,마포구청,39879,22053,18534,14920,20344,26071,37.563515,126.903343,30966.0,16727.0,23207.5,54173.5,70900.5,0.764077827377804,1,0,0
154,30154,망우,22462,9021,11373,10764,8878,17578,37.59955,127.091909,15741.5,11068.5,13228.0,28969.5,40038.0,0.7235501273789899,0,0,1
155,30155,망원,28826,22113,19421,24692,25445,30037,37.556094,126.910052,25469.5,22056.5,27741.0,53210.5,75267.0,0.7069565679514263,0,0,0
156,30156,망월사,22137,10904,12512,10738,8093,18007,37.709914,127.047455,16520.5,11625.0,13050.0,29570.5,41195.5,0.7178089839909699,0,0,1
157,30157,망포,36487,24701,14566,11192,23756,29521,37.245795,127.057353,30594.0,12879.0,26638.5,57232.5,70111.5,0.8163068826084166,1,0,0
158,30158,매교,6868,5438,3361,3006,3562,5125,37.265481,127.015678,6153.0,3183.5,4343.5,10496.5,13680.0,0.7672880116959064,1,0,1
159,30159,매봉,15272,40374,13578,11643,28941,13459,37.486947,127.046769,27823.0,12610.5,21200.0,49023.0,61633.5,0.7953953612889094,1,0,1
160,30160,매탄권선,14512,5777,5739,4167,5530,11249,37.252759,127.040566,10144.5,4953.0,8389.5,18534.0,23487.0,0.7891173840848129,1,0,0
161,30161,먹골,34807,9419,13828,11891,10669,25892,37.610637,127.077725,22113.0,12859.5,18280.5,40393.5,53253.0,0.7585206467241282,1,0,1
162,30162,면목,55734,16288,20151,17817,15437,38768,37.588579,127.087503,36011.0,18984.0,27102.5,63113.5,82097.5,0.7687627516063218,1,1,1
163,30163,명동,9061,75113,34649,48154,73162,31292,37.560989,126.986325,42087.0,41401.5,52227.0,94314.0,135715.5,0.6949390452822264,0,1,0
164,30164,명일,27478,8475,11850,10184,7817,21871,37.55137,127.143999,17976.5,11017.0,14844.0,32820.5,43837.5,0.7486854861705161,0,0,1
